filename,ext,size_bytes,year,year_bucket,authors,journal_raw,journal_canonical,journal_tier,title,subfield,pattern,parse_ok,norm_key,path
"2014 - Badolato, Donelson, Ege - Journal of Accounting and Economics - Audit Committee Financial Expertise and Earnings Management The Role of Status.pdf",pdf,446587,2014,2010_2014,"Badolato, Donelson, Ege",Journal of Accounting and Economics,Journal of Accounting and Economics,top_acct,Audit Committee Financial Expertise and Earnings Management The Role of Status,audit,A,True,2014::audit committee financial expertise and earnings management the role of status,"d:\OneDrive\tools\paper\2014 - Badolato, Donelson, Ege - Journal of Accounting and Economics - Audit Committee Financial Expertise and Earnings Management The Role of Status.pdf"
"2014 - Baghai, Servaes, Tamayo - The Journal of Finance - Have Rating Agencies Become More Conservative Implications for Capital Structure and Debt Pricing.pdf",pdf,482921,2014,2010_2014,"Baghai, Servaes, Tamayo",The Journal of Finance,The Journal of Finance,top_fin,Have Rating Agencies Become More Conservative Implications for Capital Structure and Debt Pricing,credit_ratings,A,True,2014::have rating agencies become more conservative implications for capital structure and debt pricing,"d:\OneDrive\tools\paper\2014 - Baghai, Servaes, Tamayo - The Journal of Finance - Have Rating Agencies Become More Conservative Implications for Capital Structure and Debt Pricing.pdf"
"2014 - Baghai, Servaes, Tamayo - The Journal of Finance - Have Rating Agencies Become More Conservative Implications for Capital Structure and Debt Pricing.txt",txt,168198,2014,2010_2014,"Baghai, Servaes, Tamayo",The Journal of Finance,The Journal of Finance,top_fin,Have Rating Agencies Become More Conservative Implications for Capital Structure and Debt Pricing,credit_ratings,A,True,2014::have rating agencies become more conservative implications for capital structure and debt pricing,"d:\OneDrive\tools\paper\2014 - Baghai, Servaes, Tamayo - The Journal of Finance - Have Rating Agencies Become More Conservative Implications for Capital Structure and Debt Pricing.txt"
"2014 - Balakrishnan, Billings, Kelly, Ljungqvist - The Journal of Finance - Shaping Liquidity On the Causal Effects of Voluntary Disclosure.pdf",pdf,737950,2014,2010_2014,"Balakrishnan, Billings, Kelly, Ljungqvist",The Journal of Finance,The Journal of Finance,top_fin,Shaping Liquidity On the Causal Effects of Voluntary Disclosure,disclosure,A,True,2014::shaping liquidity on the causal effects of voluntary disclosure,"d:\OneDrive\tools\paper\2014 - Balakrishnan, Billings, Kelly, Ljungqvist - The Journal of Finance - Shaping Liquidity On the Causal Effects of Voluntary Disclosure.pdf"
"2014 - Balakrishnan, Billings, Kelly, Ljungqvist - The Journal of Finance - Shaping Liquidity On the Causal Effects of Voluntary Disclosure.txt",txt,143800,2014,2010_2014,"Balakrishnan, Billings, Kelly, Ljungqvist",The Journal of Finance,The Journal of Finance,top_fin,Shaping Liquidity On the Causal Effects of Voluntary Disclosure,disclosure,A,True,2014::shaping liquidity on the causal effects of voluntary disclosure,"d:\OneDrive\tools\paper\2014 - Balakrishnan, Billings, Kelly, Ljungqvist - The Journal of Finance - Shaping Liquidity On the Causal Effects of Voluntary Disclosure.txt"
"2014 - Bao, Datta - Management Science - Simultaneously Discovering and Quantifying Risk Types from Textual Risk Disclosures.pdf",pdf,3222686,2014,2010_2014,"Bao, Datta",Management Science,Management Science,top_gen,Simultaneously Discovering and Quantifying Risk Types from Textual Risk Disclosures,disclosure,A,True,2014::simultaneously discovering and quantifying risk types from textual risk disclosures,"d:\OneDrive\tools\paper\2014 - Bao, Datta - Management Science - Simultaneously Discovering and Quantifying Risk Types from Textual Risk Disclosures.pdf"
"2014 - Barzuza, Smith - Review of Financial Studies - What Happens in Nevada Self-Selecting into Lax Law.txt",txt,191990,2014,2010_2014,"Barzuza, Smith",Review of Financial Studies,Review of Financial Studies,top_fin,What Happens in Nevada Self-Selecting into Lax Law,unknown,A,True,2014::what happens in nevada self selecting into lax law,"d:\OneDrive\tools\paper\2014 - Barzuza, Smith - Review of Financial Studies - What Happens in Nevada Self-Selecting into Lax Law.txt"
"2014 - Berkman, Koch, Westerholm - The Journal of Finance - Informed Trading through the Accounts of Children Trading through the Accounts of Children.pdf",pdf,285587,2014,2010_2014,"Berkman, Koch, Westerholm",The Journal of Finance,The Journal of Finance,top_fin,Informed Trading through the Accounts of Children Trading through the Accounts of Children,investors_capmkt,A,True,2014::informed trading through the accounts of children trading through the accounts of children,"d:\OneDrive\tools\paper\2014 - Berkman, Koch, Westerholm - The Journal of Finance - Informed Trading through the Accounts of Children Trading through the Accounts of Children.pdf"
"2014 - Blankespoor, Miller, White - Review of Accounting Studies - Initial Evidence on the Market Impact of the Xbrl Mandate.txt",txt,136174,2014,2010_2014,"Blankespoor, Miller, White",Review of Accounting Studies,Review of Accounting Studies,top_acct,Initial Evidence on the Market Impact of the Xbrl Mandate,disclosure,A,True,2014::initial evidence on the market impact of the xbrl mandate,"d:\OneDrive\tools\paper\2014 - Blankespoor, Miller, White - Review of Accounting Studies - Initial Evidence on the Market Impact of the Xbrl Mandate.txt"
2014 - Bonsall - Journal of Accounting and Economics - The Impact of Issuer-Pay on Corporate Bond Rating Properties Evidence from Moody׳s and S&P's Initia.pdf,pdf,550968,2014,2010_2014,Bonsall,Journal of Accounting and Economics,Journal of Accounting and Economics,top_acct,The Impact of Issuer-Pay on Corporate Bond Rating Properties Evidence from Moody׳s and S&P's Initia,credit_ratings,A,True,2014::the impact of issuer pay on corporate bond rating properties evidence from moody s and s p s initia,d:\OneDrive\tools\paper\2014 - Bonsall - Journal of Accounting and Economics - The Impact of Issuer-Pay on Corporate Bond Rating Properties Evidence from Moody׳s and S&P's Initia.pdf
