year,authors,journal_canonical,title,filename,path
2021,"Austin, Carpenter, Christ, Nielson",Contemporary Accounting Research,"The Data Analytics Journey Interactions Among Auditors, Managers, Regulation, and Technology","2021 - Austin, Carpenter, Christ, Nielson - Contemporary Accounting Research - The Data Analytics Journey Interactions Among Auditors, Managers, Regulation, and Technology.pdf","d:\OneDrive\tools\paper\2021 - Austin, Carpenter, Christ, Nielson - Contemporary Accounting Research - The Data Analytics Journey Interactions Among Auditors, Managers, Regulation, and Technology.pdf"
2021,"Chapman, Drake, Schroeder, Seidel",Review of Accounting Studies,Earnings Announcement Delays and Implications for the Auditor-Client Relationship,"2021 - Chapman, Drake, Schroeder, Seidel - Review of Accounting Studies - Earnings Announcement Delays and Implications for the Auditor-Client Relationship.pdf","d:\OneDrive\tools\paper\2021 - Chapman, Drake, Schroeder, Seidel - Review of Accounting Studies - Earnings Announcement Delays and Implications for the Auditor-Client Relationship.pdf"
2021,"Knechel, Mao, Qi, Zhuang",Contemporary Accounting Research,Is There a Brain Drain in Auditing The Determinants and Consequences of Auditors Leaving Public Acc,"2021 - Knechel, Mao, Qi, Zhuang - Contemporary Accounting Research - Is There a Brain Drain in Auditing The Determinants and Consequences of Auditors Leaving Public Acc.pdf","d:\OneDrive\tools\paper\2021 - Knechel, Mao, Qi, Zhuang - Contemporary Accounting Research - Is There a Brain Drain in Auditing The Determinants and Consequences of Auditors Leaving Public Acc.pdf"
2022,"Chen, Huang, Li, Pittman",Journal of Accounting Research,It's a Small World The Importance of Social Connections with Auditors to Mutual Fund Managers’ Port,"2022 - Chen, Huang, Li, Pittman - Journal of Accounting Research - It's a Small World The Importance of Social Connections with Auditors to Mutual Fund Managers’ Port.pdf","d:\OneDrive\tools\paper\2022 - Chen, Huang, Li, Pittman - Journal of Accounting Research - It's a Small World The Importance of Social Connections with Auditors to Mutual Fund Managers’ Port.pdf"
2022,"Cowle, Rowe",The Accounting Review,Don't Make Me Look Bad How the Audit Market Penalizes Auditors for Doing Their Job,"2022 - Cowle, Rowe - The Accounting Review - Don't Make Me Look Bad How the Audit Market Penalizes Auditors for Doing Their Job.pdf","d:\OneDrive\tools\paper\2022 - Cowle, Rowe - The Accounting Review - Don't Make Me Look Bad How the Audit Market Penalizes Auditors for Doing Their Job.pdf"
2022,Duguay,Journal of Accounting Research,The Economic Consequences of Financial Audit Regulation in the Charitable Sector,2022 - Duguay - Journal of Accounting Research - The Economic Consequences of Financial Audit Regulation in the Charitable Sector.pdf,d:\OneDrive\tools\paper\2022 - Duguay - Journal of Accounting Research - The Economic Consequences of Financial Audit Regulation in the Charitable Sector.pdf
2022,"Ege, Seidel, Sterin, Wood",Contemporary Accounting Research,The Influence of Management's Internal Audit Experience on Earnings Management,"2022 - Ege, Seidel, Sterin, Wood - Contemporary Accounting Research - The Influence of Management's Internal Audit Experience on Earnings Management.pdf","d:\OneDrive\tools\paper\2022 - Ege, Seidel, Sterin, Wood - Contemporary Accounting Research - The Influence of Management's Internal Audit Experience on Earnings Management.pdf"
2022,"Eulerich, Pawlowski, Waddoups, Wood",Contemporary Accounting Research,A Framework for Using Robotic Process Automation for Audit Tasks,"2022 - Eulerich, Pawlowski, Waddoups, Wood - Contemporary Accounting Research - A Framework for Using Robotic Process Automation for Audit Tasks.pdf","d:\OneDrive\tools\paper\2022 - Eulerich, Pawlowski, Waddoups, Wood - Contemporary Accounting Research - A Framework for Using Robotic Process Automation for Audit Tasks.pdf"
2022,"Fox, Wilson",Review of Accounting Studies,Double Trouble Irs’s Attention to Financial Accounting Restatements,"2022 - Fox, Wilson - Review of Accounting Studies - Double Trouble Irs’s Attention to Financial Accounting Restatements.pdf","d:\OneDrive\tools\paper\2022 - Fox, Wilson - Review of Accounting Studies - Double Trouble Irs’s Attention to Financial Accounting Restatements.pdf"
2022,"Hanlon, Shroff",Journal of Accounting and Economics,"Insights into Auditor Public Oversight Boards Whether, How, and Why They “Work”","2022 - Hanlon, Shroff - Journal of Accounting and Economics - Insights into Auditor Public Oversight Boards Whether, How, and Why They “Work”.pdf","d:\OneDrive\tools\paper\2022 - Hanlon, Shroff - Journal of Accounting and Economics - Insights into Auditor Public Oversight Boards Whether, How, and Why They “Work”.pdf"
